concept,category
wagon,vehicle
hammer,household item
shirt,clothing
buffalo,animal
snail,animal
octopus,animal
dolphin,animal
toy,household item
zebra,animal
door,furniture
chair,furniture
ship,vehicle
bike,vehicle
squirrel,animal
coat,clothing
alligator,animal
brush,household item
cabinet,furniture
fork,kitchenware
dress,clothing
necklace,clothing
dish,kitchenware
knife,kitchenware
belt,clothing
clam,animal
train,vehicle
airplane,vehicle
gloves,clothing
couch,furniture
turtle,animal
radio,household item
desk,furniture
cushion,furniture
scissors,kitchenware
oven,kitchenware
mouse,animal
submarine,vehicle
lion,animal
pot,kitchenware
doll,household item
fox,animal
pen,household item
elephant,animal
protect,verb
find,verb
exist,verb
make,verb
work,verb
use,verb
allow,verb