prefix	en_wordform	category	pos_gloss
	bad	adjective	adjective
	beautiful	adjective	adjective
	cheap	adjective	adjective
	clever	adjective	adjective
	deaf	adjective	adjective
	empty	adjective	adjective
	famous	adjective	adjective
	fresh	adjective	adjective
	full	adjective	adjective
	gentle	adjective	adjective
	good	adjective	adjective
	last	adjective	adjective
	naked	adjective	adjective
	nasty	adjective	adjective
	other	adjective	adjective
	powerful	adjective	adjective
	ripe	adjective	adjective
	sad	adjective	adjective
	sick	adjective	adjective
	soft	adjective	adjective
	strong	adjective	adjective
	stupid	adjective	adjective
	thick	adjective	adjective
	thin	adjective	adjective
	weak	adjective	adjective
a	cat	animal	noun
a	chicken	animal	noun
a	cow	animal	noun
a	crab	animal	noun
a	crocodile	animal	noun
a	crow	animal	noun
a	dog	animal	noun
a	dolphin	animal	noun
an	elephant	animal	noun
a	fish	animal	noun
a	fox	animal	noun
a	frog	animal	noun
a	giraffe	animal	noun
a	horse	animal	noun
a	lion	animal	noun
a	lizard	animal	noun
a	mosquito	animal	noun
a	mouse	animal	noun
a	nest	animal	noun
an	octopus	animal	noun
a	pig	animal	noun
a	pigeon	animal	noun
a	rabbit	animal	noun
a	rat	animal	noun
a	seal	animal	noun
a	snake	animal	noun
a	spider	animal	noun
a	squid	animal	noun
a	squirrel	animal	noun
a	tiger	animal	noun
a	turtle	animal	noun
a	whale	animal	noun
a	wolf	animal	noun
a	worm	animal	noun
a	zebra	animal	noun
to	carry	bodymotion	verb
to	hide	bodymotion	verb
to	climb	bodymotion	verb
to	crawl	bodymotion	verb
to	dance	bodymotion	verb
to	dive	bodymotion	verb
to	duck	bodymotion	verb
to	jump	bodymotion	verb
to	kick	bodymotion	verb
to	run	bodymotion	verb
to	swim	bodymotion	verb
to	walk	bodymotion	verb
to	lay	bodymotion	verb
to	sit	bodymotion	verb
to	stand	bodymotion	verb